"IfcGUID","Family","Type","Level","Room: Number","KNX Address","Assembly_code","Assembly_description"
"0Mvcf3xqr94eZDFl_t9U$8","KNX Device","Thing","4ET","418","1/2/165","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKzTr","KNX Device","Thing","4ET","414","1/2/167","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKzkf","KNX Device","Thing","4ET","406","1/2/170","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VK_ry","KNX Device","Thing","4ET","432","1/2/180","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VK_pp","KNX Device","Thing","4ET","426","1/2/181","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKzrf","KNX Device","Thing","4ET","403","1/2/182","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKzgX","KNX Device","Thing","4ET","408","1/2/183","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKzRL","KNX Device","Thing","4ET","416","1/2/184","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VK_bm","KNX Device","Thing","4ET","423","1/2/185","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZ9V","KNX Device","Thing","5ET","waiting-area","1/3/101","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZ8H","KNX Device","Thing","5ET","stairlanding","1/3/102","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZ61","KNX Device","Thing","5ET","south-corridor","1/3/103","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZ5w","KNX Device","Thing","5ET","north-corridor","1/3/103","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZ2B","KNX Device","Thing","5ET","531H","1/3/104","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZ1S","KNX Device","Thing","5ET","531F","1/3/104","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZMu","KNX Device","Thing","6ET","605","1/3/105","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZLR","KNX Device","Thing","6ET","603","1/3/105","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZKk","KNX Device","Thing","6ET","stairlanding","1/3/106","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZJr","KNX Device","Thing","6ET","cloakarea","1/3/107","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKynn","KNX Device","Thing","6ET","620","1/3/108","D3060","Controls & Instrumentation"
"2qPE$7pEX48hoi_kq45TVU","KNX Device","Thing","6ET","631PMR","1/3/109","D3060","Controls & Instrumentation"
"2qPE$7pEX48hoi_kq45TU9","KNX Device","Thing","6ET","631F","1/3/109","D3060","Controls & Instrumentation"
"","KNX Device","Thing","6ET","631H","1/3/109","D3060","Controls & Instrumentation"
