"IfcGUID","Level","ZoneName","Number","Name","IfcExportAs","Department","Occupancy","Area","Volume","Perimeter","Unbounded Height"
"3ouNmxeFb5CQ_5Hd2J9uMX","3ET","3ET_South","332","Office","IfcSpace","Public","Occupied","44 m²","110.55 m³","31.70","3.70"
"3ouNmxeFb5CQ_5Hd2J9uKM","3ET","3ET_South","333","Kitchen","IfcSpace","Public","Occupied","16 m²","41.34 m³","16.83","3.70"
"3ouNmxeFb5CQ_5Hd2J9uJG","3ET","3ET_South","334","Women Bathroom","IfcSpace","Public","Occupied","6 m²","15.41 m³","10.06","3.70"
"3ouNmxeFb5CQ_5Hd2J9uJE","3ET","3ET_South","335","Men Bathroom","IfcSpace","Public","Occupied","7 m²","17.79 m³","11.95","3.70"
"355mP_2$X41gnHJaKedguZ","4ET","ENT_Floor","401D","Shower","IfcSpace","Public","Occupied","3 m²","6.47 m³","6.88","3.66"
"2IRRGeGVD4mwnjuD6RcmSG","4ET","4ET_North","401F","Women Bathroom","IfcSpace","Public","Occupied","8 m²","21.00 m³","14.85","3.66"
"2IRRGeGVD4mwnjuD6RcmSg","4ET","4ET_North","401H","Men Bathroom","IfcSpace","Public","Occupied","9 m²","22.00 m³","14.60","3.66"
"2IRRGeGVD4mwnjuD6RcmRq","4ET","4ET_North","403","Office","IfcSpace","Public","Occupied","27 m²","68.74 m³","22.97","3.66"
"2IRRGeGVD4mwnjuD6RcmOY","4ET","4ET_North","404","Office","IfcSpace","Public","Occupied","39 m²","99.49 m³","28.66","3.66"
"2IRRGeGVD4mwnjuD6RcmOj","4ET","4ET_North","405","Room","IfcSpace","Personnel","Unoccupied","14 m²","35.99 m³","16.26","3.66"
"2IRRGeGVD4mwnjuD6RcmOJ","4ET","4ET_North","406","Office","IfcSpace","Public","Occupied","18 m²","46.66 m³","17.29","3.66"
"2IRRGeGVD4mwnjuD6RcmRv","4ET","4ET_North","407","Office","IfcSpace","Public","Occupied","17 m²","43.92 m³","17.21","3.66"
"2IRRGeGVD4mwnjuD6Rcm77","4ET","4ET_North","408","Office","IfcSpace","Public","Occupied","18 m²","46.66 m³","17.29","3.66"
"2IRRGeGVD4mwnjuD6Rcm7D","4ET","4ET_North","409","Office","IfcSpace","Public","Occupied","17 m²","44.14 m³","16.78","3.66"
"2IRRGeGVD4mwnjuD6Rcm6p","4ET","4ET_North","410","Storage Room","IfcSpace","Personnel","Unoccupied","15 m²","36.53 m³","16.26","3.66"
"2IRRGeGVD4mwnjuD6Rcm6v","4ET","4ET_North","411","Office","IfcSpace","Public","Occupied","24 m²","61.87 m³","20.19","3.66"
"2IRRGeGVD4mwnjuD6Rcm6$","4ET","4ET_North","412","Office","IfcSpace","Public","Occupied","26 m²","65.41 m³","20.58","3.66"
"2IRRGeGVD4mwnjuD6Rcm6b","4ET","4ET_Floor","414","Office","IfcSpace","Personnel","Occupied","29 m²","72.75 m³","23.88","3.66"
"2IRRGeGVD4mwnjuD6Rcm6i","4ET","4ET_Floor","416","Office","IfcSpace","Public","Occupied","20 m²","52.31 m³","18.23","3.66"
"2IRRGeGVD4mwnjuD6Rcm6N","4ET","4ET_Floor","418","Meeting Room","IfcSpace","Public","Occupied","28 m²","72.05 m³","23.77","3.66"
"1Qfe3f5n95yfrQ8nllTWQb","4ET","4ET_South","420A","Room","IfcSpace","Personnel","Unoccupied","8 m²","20.50 m³","14.12","3.66"
"2IRRGeGVD4mwnjuD6Rcm6U","4ET","4ET_South","420B","Office","IfcSpace","Public","Occupied","31 m²","77.82 m³","23.03","3.66"
"2IRRGeGVD4mwnjuD6Rcm5e","4ET","4ET_South","421","Office","IfcSpace","Public","Occupied","39 m²","99.03 m³","27.13","3.66"
"2IRRGeGVD4mwnjuD6Rcm5k","4ET","4ET_South","422","Meeting Room","IfcSpace","Personnel","Unoccupied","30 m²","75.76 m³","23.30","3.66"
"2IRRGeGVD4mwnjuD6Rcm5K","4ET","4ET_South","423","Office","IfcSpace","Public","Occupied","20 m²","52.21 m³","18.10","3.66"
"2IRRGeGVD4mwnjuD6Rcm5Q","4ET","4ET_South","424","Office","IfcSpace","Public","Occupied","20 m²","51.23 m³","17.96","3.66"
"2IRRGeGVD4mwnjuD6Rcm50","4ET","4ET_South","425","Office","IfcSpace","Public","Occupied","17 m²","43.65 m³","16.69","3.66"
"2IRRGeGVD4mwnjuD6Rcm56","4ET","4ET_South","426","Office","IfcSpace","Public","Occupied","17 m²","44.65 m³","16.89","3.66"
"2IRRGeGVD4mwnjuD6Rcm4s","4ET","4ET_South","428","Meeting Room","IfcSpace","Public","Occupied","14 m²","36.21 m³","16.58","3.66"
"2IRRGeGVD4mwnjuD6Rcm5C","4ET","4ET_South","429","Office","IfcSpace","Public","Occupied","17 m²","43.48 m³","17.12","3.66"
"2IRRGeGVD4mwnjuD6Rcm4W","4ET","4ET_South","430","Office","IfcSpace","Public","Occupied","17 m²","44.44 m³","17.33","3.66"
"2IRRGeGVD4mwnjuD6Rcm3W","4ET","4ET_South","431","Women Bathroom","IfcSpace","Public","Occupied","8 m²","21.03 m³","11.68","3.66"
"2IRRGeGVD4mwnjuD6Rcm4c","4ET","4ET_South","431H","Men Bathroom","IfcSpace","Public","Occupied","9 m²","22.43 m³","11.86","3.66"
"2IRRGeGVD4mwnjuD6Rcm3g","4ET","4ET_South","432","Office","IfcSpace","Public","Occupied","28 m²","70.83 m³","23.29","3.66"
"2IRRGeGVD4mwnjuD6Rcm3G","4ET","4ET_South","434","Storage Room","IfcSpace","Personnel","Unoccupied","13 m²","31.39 m³","14.79","3.66"
"1NQaYx$l9Fxwk17bLoUQB8","5ET","5ET_North","501F","Women Bathroom","IfcSpace","Public","Occupied","8 m²","19.00 m³","11.43","4.00"
"1NQaYx$l9Fxwk17bLoUQ86","5ET","5ET_North","501H","Men Bathroom","IfcSpace","Public","Occupied","8 m²","19.05 m³","11.44","4.00"
"1NQaYx$l9Fxwk17bLoUQB1","5ET","5ET_North","502","Office","IfcSpace","Public","Occupied","33 m²","85.84 m³","24.63","4.00"
"1NQaYx$l9Fxwk17bLoUQBx","5ET","5ET_North","503","Office","IfcSpace","Public","Occupied","32 m²","81.69 m³","24.07","4.00"
"1NQaYx$l9Fxwk17bLoUQBr","5ET","5ET_North","504","Office","IfcSpace","Public","Occupied","27 m²","68.57 m³","21.33","4.00"
"1NQaYx$l9Fxwk17bLoUQBl","5ET","5ET_North","505","Storage Room","IfcSpace","Personnel","Unoccupied","15 m²","37.48 m³","16.44","4.00"
"1NQaYx$l9Fxwk17bLoUQBg","5ET","5ET_North","506","Storage Room","IfcSpace","Personnel","Unoccupied","15 m²","37.53 m³","16.44","4.00"
"1NQaYx$l9Fxwk17bLoUQBa","5ET","5ET_North","507","Office","IfcSpace","Public","Occupied","25 m²","64.84 m³","20.82","4.00"
"1NQaYx$l9Fxwk17bLoUQ8T","5ET","5ET_North","508","Room","IfcSpace","Public","Occupied","18 m²","44.46 m³","17.66","4.00"
"1NQaYx$l9Fxwk17bLoUQ8N","5ET","5ET_North","510","Office","IfcSpace","Public","Occupied","26 m²","68.01 m³","21.11","4.00"
"1NQaYx$l9Fxwk17bLoUQ8H","5ET","5ET_North","511","Office","IfcSpace","Public","Occupied","25 m²","63.67 m³","20.61","4.00"
"1NQaYx$l9Fxwk17bLoUQ0I","5ET","5ET_Floor","514","Meeting Room","IfcSpace","Public","Occupied","51 m²","130.46 m³","28.76","4.00"
"1NQaYx$l9Fxwk17bLoUQ0B","5ET","5ET_Floor","516","Office","IfcSpace","Public","Occupied","21 m²","54.10 m³","19.41","4.00"
"1NQaYx$l9Fxwk17bLoUQ05","5ET","5ET_South","520","Office","IfcSpace","Public","Occupied","25 m²","63.59 m³","21.00","4.00"
"1NQaYx$l9Fxwk17bLoUQ0x","5ET","5ET_South","521","Office","IfcSpace","Public","Occupied","12 m²","30.77 m³","14.46","4.00"
"1NQaYx$l9Fxwk17bLoUQ0m","5ET","5ET_South","522","Meeting Room","IfcSpace","Public","Occupied","29 m²","72.08 m³","23.05","4.00"
"1NQaYx$l9Fxwk17bLoUQ0g","5ET","5ET_South","523","Office","IfcSpace","Public","Occupied","12 m²","31.97 m³","14.66","4.00"
"1NQaYx$l9Fxwk17bLoUQ0Z","5ET","5ET_South","524","Office","IfcSpace","Public","Occupied","Redundant Room","Redundant Room","Redundant Room","4.00"
"1NQaYx$l9Fxwk17bLoUR$8","5ET","5ET_South","525","Office","IfcSpace","Public","Occupied","25 m²","65.26 m³","20.82","4.00"
"1NQaYx$l9Fxwk17bLoUR$2","5ET","5ET_South","526","Office","IfcSpace","Public","Occupied","26 m²","67.77 m³","20.91","4.00"
"1NQaYx$l9Fxwk17bLoUR$y","5ET","5ET_South","528","Meeting Room","IfcSpace","Public","Occupied","51 m²","127.31 m³","32.44","4.00"
