"IfcGUID","Level","Room: Number","Assembly Code","Assembly Description","Family","Type"
"0ImRR5UQf38efws_Jt6D6e","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D6G","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D6D","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D5r","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D5z","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D5b","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D5l","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D52","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D5A","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D4o","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D4w","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D4Y","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D4g","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D4I","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dxr","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dxz","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dxb","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dxj","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DxL","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DxT","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpU","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpV","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpO","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpP","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpQ","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpR","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp4","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp5","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp6","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp7","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp0","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
