"IfcGUID","Family","Type","Assembly_code","Assembly_description","Level","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number","Heat Transfer Coefficient (U)","Thermal Resistance (R)","Thickness"
"2pvfbkv2n0JRz1B6pTk3W8","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","321","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2pvfbkv2n0JRz1B6pTk3Ze","Double (R)","1.43m x 2.04m","C1020","Interior Doors","3ET","1.43","2.04","waiting-area","south-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2pvfbkv2n0JRz1B6pTk3bk","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","3ET","1.00","2.04","south-corridor","3ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2pvfbkv2n0JRz1B6pTk3bO","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","3ET","1.00","2.04","south-corridor","3ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2pvfbkv2n0JRz1B6pTk3g9","Coulissante - Apparente","0.80m x 2.04m","C1020","Interior Doors","3ET","0.80","2.04","334","334","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2pvfbkv2n0JRz1B6pTk3z6","Placard coulissante - 3 panneaux","Placard coulissante - 3 panneaux","C1020","Interior Doors","3ET","4.50","2.10","325","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk01B","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","3ET","2.00","2.10","324","326","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk022","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux","C1020","Interior Doors","3ET","2.00","2.10","324","326","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk0CO","Placard coulissante - 3 panneaux","Placard coulissante - 3 panneaux","C1020","Interior Doors","3ET","4.50","2.10","328","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk0Fw","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","3ET","0.76","2.03","335","335","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2pvfbkv2n0JRz1B6pTk0O$","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","330","330","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk0Qu","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","330","330","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk0RY","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","322","322","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
